failure_id,equipment_number,equipment_name,equipment_type,failure_date,failure_mode,failed_component,root_cause,corrective_action,severity,detection_method,detection_to_failure_hrs,time_to_repair_hrs,total_downtime_hrs,production_loss_bbl,repair_cost_usd,was_predictable,linked_work_order
FL-5036,GC-002,Booster Compressor A,Gas Compressor,2025-09-23,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Critical,Oil Analysis,0,12,12,132.71,207573.56,Yes,WO-3182347
FL-5008,CP-002,Crude Transfer Pump B,Centrifugal Pump,2025-09-30,Motor Overload Trip,Motor,Downstream valve partially closed increasing head,"Clear valve blockage, recalibrate protection relay",Critical,Thermography,0,16,16,57.05,65371.42,Yes,WO-3360414
FL-5016,CP-003,Water Injection Pump,Centrifugal Pump,2025-10-20,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Major,Scheduled Inspection,4,12,16,81.06,42800.18,No,WO-3523568
FL-5052,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,2025-10-27,Gasket Failure,Gasket,Thermal cycling exceeded gasket material limits,Replace gaskets with spiral wound type,Major,Oil Analysis,0,8,8,100.75,56881.15,Yes,WO-3129495
FL-5013,CP-002,Crude Transfer Pump B,Centrifugal Pump,2025-11-06,Impeller Erosion,Impeller,Cavitation damage from low NPSH conditions,"Replace impeller, adjust suction piping",Minor,Scheduled Inspection,0,8,8,0.0,45469.96,Yes,WO-3015260
FL-5051,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,2025-11-09,Tube Leak,Tubes,Galvanic corrosion between dissimilar metals,"Plug leaking tubes, plan tube bundle replacement",Major,Visual Inspection,0,8,8,78.16,80045.46,Partially,WO-3104631
FL-5102,EM-001,Pump Drive Motor A,Electric Motor,2025-11-10,Winding Insulation Failure,Stator,Moisture ingress degraded insulation resistance,"Rewind stator, improve enclosure sealing",Moderate,Vibration Monitoring,24,16,40,0.0,79271.8,No,WO-3963958
FL-5097,GT-002,Power Gen Turbine B,Gas Turbine,2025-11-13,Combustion Liner Crack,Combustor,Thermal fatigue from frequent start/stop cycles,"Replace liner segments, reduce start/stop frequency",Minor,Scheduled Inspection,0,168,168,0.0,10876.17,No,WO-3779516
FL-5068,SP-001,1st Stage Separator,Three-Phase Separator,2025-11-15,Level Control Failure,Instruments,Level transmitter drift from emulsion buildup on sensor,"Clean/replace transmitter, add chemical injection",Critical,Visual Inspection,0,8,8,16.93,118608.2,Yes,WO-3212005
FL-5070,SP-001,1st Stage Separator,Three-Phase Separator,2025-11-25,Level Control Failure,Instruments,Level transmitter drift from emulsion buildup on sensor,"Clean/replace transmitter, add chemical injection",Minor,Visual Inspection,0,8,8,0.0,6407.12,No,WO-3383168
FL-5135,FP-001,Fire Water Pump,Fire Water Pump,2025-12-11,Jockey Pump Failure,Jockey Pump,Mechanical seal failure on jockey pump from dry running,"Replace jockey pump seal, install low-flow alarm",Minor,Control Room Alarm,24,4,28,0.0,22891.34,Partially,WO-3196914
FL-5038,GC-002,Booster Compressor A,Gas Compressor,2025-12-13,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Moderate,Visual Inspection,0,8,8,0.0,39423.98,No,WO-3606243
FL-5125,CV-002,Compressor Anti-Surge Valve,Control Valve,2025-12-15,Actuator Diaphragm Failure,Actuator,Diaphragm material degraded from chemical exposure,"Replace diaphragm, upgrade to chemical-resistant material",Moderate,Oil Analysis,8,4,12,0.0,44361.55,No,WO-3421794
FL-5067,SP-001,1st Stage Separator,Three-Phase Separator,2025-12-15,Pressure Relief Valve Lift,PRV,Downstream restriction caused overpressure condition,"Clear restriction, recertify PRV",Moderate,Visual Inspection,0,8,8,0.0,61415.37,No,WO-3050874
FL-5050,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,2026-01-01,Fouling - Shell Side,Shell,Scale buildup from untreated seawater,"Chemical cleaning, improve water treatment",Moderate,Visual Inspection,0,12,12,0.0,47937.3,No,WO-3371748
FL-5072,SP-002,2nd Stage Separator,Three-Phase Separator,2026-01-29,Weir Plate Corrosion,Internals,H2S corrosion on carbon steel weir plates,Replace with duplex stainless steel weir plates,Moderate,Vibration Monitoring,0,8,8,0.0,17820.16,No,WO-3487116
FL-5083,SP-003,Test Separator,Three-Phase Separator,2026-01-30,Weir Plate Corrosion,Internals,H2S corrosion on carbon steel weir plates,Replace with duplex stainless steel weir plates,Minor,Performance Deviation,48,48,96,0.0,66623.84,No,WO-3116845
FL-5137,FP-001,Fire Water Pump,Fire Water Pump,2026-02-01,Impeller Corrosion,Impeller,Seawater corrosion on cast iron impeller,"Replace with bronze impeller, add cathodic protection",Moderate,Scheduled Inspection,0,8,8,0.0,7816.15,Yes,WO-3172531
FL-5025,CP-004,Seawater Lift Pump,Centrifugal Pump,2026-02-03,Motor Overload Trip,Motor,Downstream valve partially closed increasing head,"Clear valve blockage, recalibrate protection relay",Minor,Operator Round,8,48,56,0.0,59191.28,Yes,WO-3337773
FL-5060,HX-003,Produced Water Cooler,Heat Exchanger,2026-02-05,Fouling - Shell Side,Shell,Scale buildup from untreated seawater,"Chemical cleaning, improve water treatment",Moderate,Scheduled Inspection,0,48,48,0.0,57197.85,Partially,WO-3231876
FL-5090,GT-001,Power Gen Turbine A,Gas Turbine,2026-02-07,Turbine Blade Fouling,Blades,Salt deposits from ambient air ingestion,Online wash + offline compressor wash,Moderate,Control Room Alarm,0,8,8,0.0,44622.4,Yes,WO-3153745
FL-5024,CP-004,Seawater Lift Pump,Centrifugal Pump,2026-02-11,Impeller Erosion,Impeller,Cavitation damage from low NPSH conditions,"Replace impeller, adjust suction piping",Moderate,Oil Analysis,0,8,8,0.0,63258.55,No,WO-3249834
FL-5088,GT-001,Power Gen Turbine A,Gas Turbine,2026-02-22,Exhaust Temp Spread High,Combustor,Uneven fuel distribution across combustion cans,"Balance fuel nozzle flow, replace worn nozzles",Major,Operator Round,0,12,12,144.38,12761.07,No,WO-3410977
FL-5120,CV-001,Separator Level Control Valve,Control Valve,2026-03-06,Trim Erosion,Trim,High-velocity flow with entrained sand particles,"Replace trim with tungsten carbide, add desander",Critical,Control Room Alarm,0,8,8,64.31,52103.32,No,WO-3398143
FL-5001,CP-001,Crude Transfer Pump A,Centrifugal Pump,2026-03-12,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Moderate,Scheduled Inspection,8,12,20,0.0,44399.49,Partially,WO-3835643
FL-5029,GC-001,Export Gas Compressor,Gas Compressor,2026-03-13,Intercooler Fouling,Cooler,Hydrocarbon condensate buildup in cooling passages,"Clean intercooler, install knockout drum",Moderate,Vibration Monitoring,0,24,24,0.0,45907.9,Partially,WO-3631806
FL-5081,SP-003,Test Separator,Three-Phase Separator,2026-03-13,Level Control Failure,Instruments,Level transmitter drift from emulsion buildup on sensor,"Clean/replace transmitter, add chemical injection",Minor,Operator Round,0,48,48,0.0,66883.21,No,WO-3946119
FL-5015,CP-003,Water Injection Pump,Centrifugal Pump,2026-03-14,Mechanical Seal Failure,Seal,Worn seal faces due to abrasive particles in fluid,"Replace seal assembly, install strainer upstream",Critical,Oil Analysis,4,16,20,73.27,149893.63,Partially,WO-3504656
FL-5138,CP-004,Seawater Lift Pump,Centrifugal Pump,2026-04-07,Mechanical Seal Failure,Seal,Worn seal faces due to abrasive particles in seawater — no upstream strainer installed,"Emergency seal replacement, installed 50-micron strainer upstream, ordered duplex SS seal upgrade",Critical,Control Room Alarm,0,72,72,4500.0,48500.0,Yes,WO-4000148
