inspection_id,equipment_number,equipment_name,regulatory_standard,inspection_type,inspection_date,next_due_date,inspector,inspection_company,result,finding,corrective_action_required,corrective_action_due_date,corrective_action_status,risk_ranking,functional_location
INSP-7193,CV-002,Compressor Anti-Surge Valve,ISA 84 / IEC 61511,SIF/SIL Verification,2024-10-20,2026-10-20,M. Hassan (DNV),TÜV,Conditional Pass,Safety valve set pressure drifted +3% — recertified on site,Yes,2024-11-19,Open,Low,OG-FIELD-COMPRESSION
INSP-7139,SP-002,2nd Stage Separator,OSHA PSM,Process Safety Management Audit,2024-10-23,2025-10-23,S. Kim (Lloyd's Register),DNV,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7074,GC-002,Booster Compressor A,Vibration ISO 10816,Vibration Analysis Survey,2024-10-29,2025-10-29,T. Rodriguez (ABS Group),ABS Group,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7030,CP-004,Seawater Lift Pump,API 570,Piping Inspection,2024-11-01,2026-11-01,A. Patel (Intertek),Bureau Veritas,Pass,No defects found — equipment in good condition,No,,N/A,Medium,OG-FIELD-UTILITIES
INSP-7192,CV-002,Compressor Anti-Surge Valve,ISA 84 / IEC 61511,SIF/SIL Verification,2024-11-08,2025-11-08,A. Patel (Intertek),TÜV,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7146,SP-002,2nd Stage Separator,ISA 84 / IEC 61511,SIF/SIL Verification,2024-11-09,2025-05-08,R. Campbell (TÜV),Bureau Veritas,Pass,Grounding strap disconnected — reconnect and verify,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7116,HX-003,Produced Water Cooler,API 580/581,Risk-Based Inspection (RBI),2024-11-10,2026-11-10,S. Kim (Lloyd's Register),Bureau Veritas,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Medium,OG-FIELD-UTILITIES
INSP-7183,EM-002,Compressor Drive Motor,Vibration ISO 10816,Vibration Analysis Survey,2024-11-14,2025-05-13,A. Patel (Intertek),Bureau Veritas,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7118,SP-001,1st Stage Separator,API 510,Pressure Vessel Inspection,2024-11-19,2026-11-19,S. Kim (Lloyd's Register),Lloyd's Register,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7018,CP-002,Crude Transfer Pump B,Vibration ISO 10816,Vibration Analysis Survey,2024-11-29,2025-11-29,A. Patel (Intertek),Lloyd's Register,Pass,Emergency shutdown tested — 2-second delay exceeds 1-second target — investigate,No,,N/A,Medium,OG-FIELD-PRODUCTION
INSP-7098,HX-001,Crude-Crude Heat Exchanger,API 580/581,Risk-Based Inspection (RBI),2024-11-30,2026-11-30,A. Patel (Intertek),DNV,Conditional Pass,Pressure gauge out of calibration — replaced on site,Yes,2025-02-22,Closed,Medium,OG-FIELD-PROCESSING
INSP-7002,CP-001,Crude Transfer Pump A,API 570,Piping Inspection,2024-12-03,2026-12-03,M. Hassan (DNV),Intertek,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7182,EM-002,Compressor Drive Motor,Vibration ISO 10816,Vibration Analysis Survey,2024-12-05,2025-12-05,R. Campbell (TÜV),Bureau Veritas,Pass,Emergency shutdown tested — 2-second delay exceeds 1-second target — investigate,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7152,SP-003,Test Separator,API 510,Pressure Vessel Inspection,2024-12-10,2025-12-10,A. Patel (Intertek),ABS Group,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Medium,OG-FIELD-WELL-TESTING
INSP-7186,CV-001,Separator Level Control Valve,EPA LDAR,Leak Detection & Repair,2024-12-15,2025-06-13,A. Patel (Intertek),Lloyd's Register,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7159,SP-003,Test Separator,ISA 84 / IEC 61511,SIF/SIL Verification,2024-12-28,2025-12-28,S. Kim (Lloyd's Register),TÜV,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Medium,OG-FIELD-WELL-TESTING
INSP-7175,GT-002,Power Gen Turbine B,Vibration ISO 10816,Vibration Analysis Survey,2025-01-06,2026-01-06,M. Hassan (DNV),Bureau Veritas,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Low,OG-FIELD-POWER-GEN
INSP-7084,GC-003,Vapor Recovery Compressor,EPA LDAR,Leak Detection & Repair,2025-01-06,2027-01-06,J. Martinez (Bureau Veritas),Bureau Veritas,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7167,GT-001,Power Gen Turbine A,Vibration ISO 10816,Vibration Analysis Survey,2025-01-25,2025-07-24,T. Rodriguez (ABS Group),Bureau Veritas,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Medium,OG-FIELD-POWER-GEN
INSP-7034,CP-004,Seawater Lift Pump,API 580/581,Risk-Based Inspection (RBI),2025-02-06,2025-08-05,R. Campbell (TÜV),TÜV,Pass,No defects found — equipment in good condition,No,,N/A,Medium,OG-FIELD-UTILITIES
INSP-7104,HX-002,Gas Cooler,API 570,Piping Inspection,2025-02-10,2027-02-10,A. Patel (Intertek),Bureau Veritas,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7033,CP-004,Seawater Lift Pump,API 580/581,Risk-Based Inspection (RBI),2025-02-21,2026-02-21,R. Campbell (TÜV),DNV,Pass,Emergency shutdown tested — 2-second delay exceeds 1-second target — investigate,No,,N/A,Medium,OG-FIELD-UTILITIES
INSP-7079,GC-003,Vapor Recovery Compressor,API 617,Axial & Centrifugal Compressor,2025-02-26,2025-08-25,T. Rodriguez (ABS Group),Intertek,Conditional Pass,No defects found — equipment in good condition,Yes,2025-05-20,Open,Medium,OG-FIELD-COMPRESSION
INSP-7110,HX-003,Produced Water Cooler,API 510,Pressure Vessel Inspection,2025-02-28,2025-08-27,A. Patel (Intertek),ABS Group,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,High,OG-FIELD-UTILITIES
INSP-7136,SP-002,2nd Stage Separator,OSHA PSM,Process Safety Management Audit,2025-03-01,2026-03-01,R. Campbell (TÜV),Intertek,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7059,GC-002,Booster Compressor A,API 570,Piping Inspection,2025-03-03,2027-03-03,T. Rodriguez (ABS Group),Lloyd's Register,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7001,CP-001,Crude Transfer Pump A,API 570,Piping Inspection,2025-03-03,2026-03-03,S. Kim (Lloyd's Register),Lloyd's Register,Pass,No defects found — equipment in good condition,No,,N/A,High,OG-FIELD-PRODUCTION
INSP-7023,CP-003,Water Injection Pump,API 570,Piping Inspection,2025-03-18,2027-03-18,R. Campbell (TÜV),Bureau Veritas,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,High,OG-FIELD-INJECTION
INSP-7181,EM-002,Compressor Drive Motor,Vibration ISO 10816,Vibration Analysis Survey,2025-03-20,2025-09-16,S. Kim (Lloyd's Register),Intertek,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7126,SP-001,1st Stage Separator,EPA LDAR,Leak Detection & Repair,2025-03-30,2025-09-26,R. Campbell (TÜV),TÜV,Pass,Grounding strap disconnected — reconnect and verify,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7168,GT-001,Power Gen Turbine A,Vibration ISO 10816,Vibration Analysis Survey,2025-03-31,2027-03-31,J. Martinez (Bureau Veritas),TÜV,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Low,OG-FIELD-POWER-GEN
INSP-7130,SP-001,1st Stage Separator,ISA 84 / IEC 61511,SIF/SIL Verification,2025-04-01,2026-04-01,M. Hassan (DNV),ABS Group,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7102,HX-002,Gas Cooler,API 510,Pressure Vessel Inspection,2025-04-06,2025-10-03,M. Hassan (DNV),Lloyd's Register,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7004,CP-001,Crude Transfer Pump A,API 570,Piping Inspection,2025-04-06,2026-04-06,A. Patel (Intertek),Lloyd's Register,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7141,SP-002,2nd Stage Separator,EPA LDAR,Leak Detection & Repair,2025-04-29,2025-10-26,A. Patel (Intertek),TÜV,Conditional Pass,Minor surface corrosion on external casing — monitor at next inspection,Yes,2025-06-19,Overdue,Low,OG-FIELD-PROCESSING
INSP-7124,SP-001,1st Stage Separator,OSHA PSM,Process Safety Management Audit,2025-05-01,2025-10-28,T. Rodriguez (ABS Group),TÜV,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7191,CV-002,Compressor Anti-Surge Valve,EPA LDAR,Leak Detection & Repair,2025-05-03,2027-05-03,A. Patel (Intertek),TÜV,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7184,CV-001,Separator Level Control Valve,EPA LDAR,Leak Detection & Repair,2025-05-03,2026-05-03,R. Campbell (TÜV),Lloyd's Register,Conditional Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,Yes,2025-07-30,Overdue,High,OG-FIELD-PROCESSING
INSP-7005,CP-001,Crude Transfer Pump A,API 580/581,Risk-Based Inspection (RBI),2025-05-03,2026-05-03,T. Rodriguez (ABS Group),TÜV,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7013,CP-002,Crude Transfer Pump B,API 570,Piping Inspection,2025-05-11,2027-05-11,S. Kim (Lloyd's Register),Bureau Veritas,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,Medium,OG-FIELD-PRODUCTION
INSP-7155,SP-003,Test Separator,OSHA PSM,Process Safety Management Audit,2025-05-31,2025-11-27,M. Hassan (DNV),TÜV,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,High,OG-FIELD-WELL-TESTING
INSP-7083,GC-003,Vapor Recovery Compressor,OSHA PSM,Process Safety Management Audit,2025-06-02,2025-11-29,S. Kim (Lloyd's Register),Bureau Veritas,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7064,GC-002,Booster Compressor A,OSHA PSM,Process Safety Management Audit,2025-06-11,2026-06-11,M. Hassan (DNV),Lloyd's Register,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7011,CP-002,Crude Transfer Pump B,API 570,Piping Inspection,2025-06-19,2025-12-16,R. Campbell (TÜV),Intertek,Conditional Pass,Pressure gauge out of calibration — replaced on site,Yes,2025-08-01,Closed,Medium,OG-FIELD-PRODUCTION
INSP-7077,GC-003,Vapor Recovery Compressor,API 570,Piping Inspection,2025-06-23,2025-12-20,T. Rodriguez (ABS Group),Lloyd's Register,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7031,CP-004,Seawater Lift Pump,API 570,Piping Inspection,2025-06-29,2025-12-26,R. Campbell (TÜV),TÜV,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Low,OG-FIELD-UTILITIES
INSP-7156,SP-003,Test Separator,EPA LDAR,Leak Detection & Repair,2025-06-30,2026-06-30,M. Hassan (DNV),ABS Group,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-WELL-TESTING
INSP-7127,SP-001,1st Stage Separator,EPA LDAR,Leak Detection & Repair,2025-07-02,2025-12-29,A. Patel (Intertek),ABS Group,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7114,HX-003,Produced Water Cooler,API 570,Piping Inspection,2025-07-04,2027-07-04,R. Campbell (TÜV),ABS Group,Pass,Grounding strap disconnected — reconnect and verify,No,,N/A,Low,OG-FIELD-UTILITIES
INSP-7019,CP-002,Crude Transfer Pump B,Vibration ISO 10816,Vibration Analysis Survey,2025-07-10,2026-07-10,J. Martinez (Bureau Veritas),DNV,Pass,Emergency shutdown tested — 2-second delay exceeds 1-second target — investigate,No,,N/A,Medium,OG-FIELD-PRODUCTION
INSP-7051,GC-001,Export Gas Compressor,EPA LDAR,Leak Detection & Repair,2025-07-14,2026-01-10,M. Hassan (DNV),ABS Group,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7069,GC-002,Booster Compressor A,EPA LDAR,Leak Detection & Repair,2025-07-22,2026-07-22,M. Hassan (DNV),TÜV,Conditional Pass,No defects found — equipment in good condition,Yes,2025-09-29,Overdue,Low,OG-FIELD-COMPRESSION
INSP-7128,SP-001,1st Stage Separator,ISA 84 / IEC 61511,SIF/SIL Verification,2025-07-24,2026-07-24,R. Campbell (TÜV),TÜV,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7145,SP-002,2nd Stage Separator,ISA 84 / IEC 61511,SIF/SIL Verification,2025-08-01,2026-08-01,S. Kim (Lloyd's Register),Lloyd's Register,Fail,Leak detected at valve packing — repacked and torqued to spec,Yes,2025-10-12,Overdue,Medium,OG-FIELD-PROCESSING
INSP-7125,SP-001,1st Stage Separator,EPA LDAR,Leak Detection & Repair,2025-08-04,2026-01-31,J. Martinez (Bureau Veritas),Intertek,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7163,GT-001,Power Gen Turbine A,API 612,Special Purpose Steam Turbine,2025-08-06,2026-02-02,A. Patel (Intertek),ABS Group,Pass,No defects found — equipment in good condition,No,,N/A,High,OG-FIELD-POWER-GEN
INSP-7049,GC-001,Export Gas Compressor,EPA LDAR,Leak Detection & Repair,2025-08-09,2027-08-09,S. Kim (Lloyd's Register),DNV,Conditional Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,Yes,2025-10-20,Open,High,OG-FIELD-COMPRESSION
INSP-7056,GC-001,Export Gas Compressor,Vibration ISO 10816,Vibration Analysis Survey,2025-08-15,2026-08-15,S. Kim (Lloyd's Register),Intertek,Pass,Emergency shutdown tested — 2-second delay exceeds 1-second target — investigate,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7090,GC-003,Vapor Recovery Compressor,Vibration ISO 10816,Vibration Analysis Survey,2025-08-30,2027-08-30,S. Kim (Lloyd's Register),Lloyd's Register,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7024,CP-003,Water Injection Pump,API 580/581,Risk-Based Inspection (RBI),2025-09-02,2026-03-01,T. Rodriguez (ABS Group),ABS Group,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Low,OG-FIELD-INJECTION
INSP-7112,HX-003,Produced Water Cooler,API 570,Piping Inspection,2025-09-10,2026-09-10,T. Rodriguez (ABS Group),Bureau Veritas,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-UTILITIES
INSP-7131,SP-001,1st Stage Separator,API 580/581,Risk-Based Inspection (RBI),2025-10-01,2027-10-01,M. Hassan (DNV),Lloyd's Register,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7101,HX-002,Gas Cooler,API 510,Pressure Vessel Inspection,2025-10-03,2027-10-03,R. Campbell (TÜV),Intertek,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7071,GC-002,Booster Compressor A,API 580/581,Risk-Based Inspection (RBI),2025-10-05,2027-10-05,S. Kim (Lloyd's Register),Bureau Veritas,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7180,EM-002,Compressor Drive Motor,Vibration ISO 10816,Vibration Analysis Survey,2025-10-23,2026-04-21,S. Kim (Lloyd's Register),Bureau Veritas,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7179,EM-001,Pump Drive Motor A,Vibration ISO 10816,Vibration Analysis Survey,2025-10-25,2026-04-23,J. Martinez (Bureau Veritas),TÜV,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,High,OG-FIELD-PRODUCTION
INSP-7082,GC-003,Vapor Recovery Compressor,OSHA PSM,Process Safety Management Audit,2025-10-31,2027-10-31,A. Patel (Intertek),TÜV,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7107,HX-002,Gas Cooler,API 580/581,Risk-Based Inspection (RBI),2025-11-06,2026-11-06,J. Martinez (Bureau Veritas),DNV,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7007,CP-001,Crude Transfer Pump A,API 580/581,Risk-Based Inspection (RBI),2025-11-10,2027-11-10,A. Patel (Intertek),Lloyd's Register,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Medium,OG-FIELD-PRODUCTION
INSP-7050,GC-001,Export Gas Compressor,EPA LDAR,Leak Detection & Repair,2025-11-19,2027-11-19,A. Patel (Intertek),Bureau Veritas,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7078,GC-003,Vapor Recovery Compressor,API 617,Axial & Centrifugal Compressor,2025-11-27,2027-11-27,M. Hassan (DNV),Lloyd's Register,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7144,SP-002,2nd Stage Separator,ISA 84 / IEC 61511,SIF/SIL Verification,2025-12-01,2026-12-01,M. Hassan (DNV),TÜV,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7067,GC-002,Booster Compressor A,EPA LDAR,Leak Detection & Repair,2025-12-15,2026-06-13,S. Kim (Lloyd's Register),TÜV,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7138,SP-002,2nd Stage Separator,OSHA PSM,Process Safety Management Audit,2025-12-21,2026-12-21,J. Martinez (Bureau Veritas),Lloyd's Register,Conditional Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,Yes,2026-01-21,Overdue,Low,OG-FIELD-PROCESSING
INSP-7029,CP-003,Water Injection Pump,Vibration ISO 10816,Vibration Analysis Survey,2025-12-26,2027-12-26,M. Hassan (DNV),DNV,Pass,No defects found — equipment in good condition,No,,N/A,High,OG-FIELD-INJECTION
INSP-7070,GC-002,Booster Compressor A,API 580/581,Risk-Based Inspection (RBI),2025-12-29,2026-06-27,S. Kim (Lloyd's Register),DNV,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7006,CP-001,Crude Transfer Pump A,API 580/581,Risk-Based Inspection (RBI),2025-12-31,2026-06-29,S. Kim (Lloyd's Register),Lloyd's Register,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Medium,OG-FIELD-PRODUCTION
INSP-7053,GC-001,Export Gas Compressor,API 580/581,Risk-Based Inspection (RBI),2026-01-05,2028-01-05,M. Hassan (DNV),Intertek,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7066,GC-002,Booster Compressor A,OSHA PSM,Process Safety Management Audit,2026-01-06,2027-01-06,A. Patel (Intertek),DNV,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7129,SP-001,1st Stage Separator,ISA 84 / IEC 61511,SIF/SIL Verification,2026-01-14,2028-01-14,R. Campbell (TÜV),DNV,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7065,GC-002,Booster Compressor A,OSHA PSM,Process Safety Management Audit,2026-01-25,2028-01-25,T. Rodriguez (ABS Group),ABS Group,Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7095,HX-001,Crude-Crude Heat Exchanger,API 570,Piping Inspection,2026-01-30,2026-07-29,R. Campbell (TÜV),TÜV,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7045,GC-001,Export Gas Compressor,OSHA PSM,Process Safety Management Audit,2026-01-31,2026-07-30,A. Patel (Intertek),ABS Group,Conditional Pass,No defects found — equipment in good condition,Yes,2026-04-21,Overdue,High,OG-FIELD-COMPRESSION
INSP-7165,GT-001,Power Gen Turbine A,OSHA PSM,Process Safety Management Audit,2026-02-11,2028-02-11,A. Patel (Intertek),ABS Group,Pass,Grounding strap disconnected — reconnect and verify,No,,N/A,Medium,OG-FIELD-POWER-GEN
INSP-7061,GC-002,Booster Compressor A,API 570,Piping Inspection,2026-02-14,2026-08-13,S. Kim (Lloyd's Register),TÜV,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7109,HX-002,Gas Cooler,API 580/581,Risk-Based Inspection (RBI),2026-02-15,2027-02-15,R. Campbell (TÜV),DNV,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7086,GC-003,Vapor Recovery Compressor,EPA LDAR,Leak Detection & Repair,2026-02-16,2026-08-15,T. Rodriguez (ABS Group),Bureau Veritas,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7028,CP-003,Water Injection Pump,Vibration ISO 10816,Vibration Analysis Survey,2026-02-23,2028-02-23,S. Kim (Lloyd's Register),Bureau Veritas,Fail,Safety valve set pressure drifted +3% — recertified on site,Yes,2026-05-21,Closed,Low,OG-FIELD-INJECTION
INSP-7003,CP-001,Crude Transfer Pump A,API 570,Piping Inspection,2026-03-01,2026-08-28,R. Campbell (TÜV),Bureau Veritas,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7017,CP-002,Crude Transfer Pump B,API 580/581,Risk-Based Inspection (RBI),2026-03-04,2028-03-03,J. Martinez (Bureau Veritas),ABS Group,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7020,CP-002,Crude Transfer Pump B,Vibration ISO 10816,Vibration Analysis Survey,2026-03-08,2027-03-08,J. Martinez (Bureau Veritas),Intertek,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-PRODUCTION
